CID,FSA,Comm_Name,PR,HR,health_region,HR_UID,HR_NAME,pop.2016,area.km2,pop.km2
491824829,T2Z,CALGARY,48,4832,Calgary,4832,Calgary Zone,68438,4393.045900416237,15.578712708992084
491824833,L5E,MISSISSAUGA,35,3553,Peel,3553,Peel Public Health,12731,1860.119212979831,6.844184991565936
491824844,A0G,LEWISPORTE,10,1012,Central,1012,Central Regional Health Authority,35266,852.3901040016912,41.37307534946468
491824847,H9W,BEACONSFIELD,24,2406,Montréal,2406,Région de Montréal,19324,1282.7826980993902,15.064125848151074
491824858,M8W,ETOBICOKE,35,3595,Toronto,3595,Toronto Public Health,20674,3.6503405918534835,5663.581104223112
491824869,T3G,CALGARY,48,4832,Calgary,4832,Calgary Zone,59025,6.963810808376426,8475.962604986587
491824885,L4N,BARRIE,35,3560,Simcoe Muskoka,3560,Simcoe Muskoka District Health Unit,98663,177.65889395206347,555.3507499974731
491824907,M5V,TORONTO,35,3595,Toronto,3595,Toronto Public Health,49195,0.6627260070607588,74231.28031172889
491824912,L3P,MARKHAM,35,3570,York,3570,York Region Public Health,37764,9.81939810272271,3845.856905376802
491824920,M1G,SCARBOROUGH,35,3595,Toronto,3595,Toronto Public Health,29690,8.792718098516689,3376.6577828770187
491824928,A1A,ST. JOHN'S,10,1011,Eastern,1011,Eastern Regional Health Authority,30382,10.755039261686433,2824.9083300171965
491824961,B2H,NEW GLASGOW,12,1202,Zone 2 - Northern,1202,Zone 2 - Northern,14477,3.8543626094120347,3756.003642378733
491824984,K6V,BROCKVILLE,35,3543,Leeds Grenville and Lanark,3543,"Leeds, Grenville and Lanark District Health Unit",27782,336.93493446081936,82.4550889757341
491824999,A0J,SPRINGDALE,10,1012,Central,1012,Central Regional Health Authority,7880,50.261635434342864,156.77961793132857
491825021,L8K,HAMILTON,35,3537,Hamilton,3537,Hamilton Public Health Services,31449,157.60693659124627,199.54070982017123
491825023,V2W,MAPLE RIDGE,59,5902,Fraser,591,Fraser,19022,35718.65517856506,0.5325508450669553
491825027,H8P,LASALLE,24,2406,Montréal,2406,Région de Montréal,22706,5.706919927533101,3978.678567129467
491825031,T4R,RED DEER,48,4833,Central,4833,Central Zone,36570,15.82450271550884,2310.9730939070514
491825032,R3C,WINNIPEG,46,4603,Interlake-Eastern,4603,Interlake-Eastern Regional Health Authority,14364,21.15438065362001,679.0082978648672
491825038,J3Y,SAINT-HUBERT,24,2416,Montérégie,2416,Région de la Montérégie,61954,70.56369695932024,877.9868780928002
491825044,H4A,MONTREAL,24,2406,Montréal,2406,Région de Montréal,26453,3.5904465420362404,7367.60725728499
491825049,A8A,DEER LAKE,10,1013,Western,1013,Western Regional Health Authority,6901,53.055626072795384,130.0710313083749
491825066,V0K,100 MILE HOUSE,59,5901,Interior,592,Interior,32908,19.282261491182453,1706.6462880948084
491825073,E1A,DIEPPE,13,1301,Zone 1 (Moncton area),1301,Zone 1 (Moncton area),43012,12.683154512278128,3391.269889392387
491825080,V9R,NANAIMO,59,5904,Island,593,Vancouver Island,28376,4.444805515885867,6384.0813503725485
491825081,T8A,SHERWOOD PARK,48,4834,Edmonton,4834,Edmonton Zone,43987,18.355899982301793,2396.3412331953728
491825098,M2N,NORTH YORK,35,3595,Toronto,3595,Toronto Public Health,75897,6.087786381486448,12467.093167199522
491825162,N0A,PORT DOVER,35,3534,Haldimand-Norfolk,3534,Haldimand-Norfolk Health Unit,29853,59.02506758360374,505.76816295408537
491825200,B1N,SYDNEY,12,1203,Zone 3 - Eastern,1203,Zone 3 - Eastern,5705,4464.296894392368,1.2779167996568703
491825205,G9N,SHAWINIGAN,24,2404,Mauricie,2404,Région de la Mauricie et du Centre-du-Québec,16114,7.041282837389999,2288.5034406561344
491825251,K1J,GLOUCESTER,35,3551,Ottawa,3551,Ottawa Public Health,26931,89.32389973259545,301.49825612878533
491825301,G9H,BECANCOUR,24,2404,Mauricie,2404,Région de la Mauricie et du Centre-du-Québec,13028,217.11627247844228,60.00471476081354
491825322,L1J,OSHAWA,35,3530,Durham,3530,Durham Region Health Department,41793,65.61227707246101,636.969205532138
491825355,M3L,NORTH YORK,35,3595,Toronto,3595,Toronto Public Health,17339,7.681249914041321,2257.314915415565
491825357,L5B,MISSISSAUGA,35,3553,Peel,3553,Peel Public Health,63394,4.605297835095008,13765.450633160228
491825404,T6J,EDMONTON,48,4834,Edmonton,4834,Edmonton Zone,47109,21692.826627634757,2.171639538205098
491825410,A0A,HOLYROOD,10,1011,Eastern,1011,Eastern Regional Health Authority,46587,5.080560526255631,9169.657513033228
491825424,V3V,SURREY,59,5902,Fraser,591,Fraser,48927,18.91065391273062,2587.2717160278858
491825431,G9H,BECANCOUR,24,2404,Mauricie,2404,Région de la Mauricie et du Centre-du-Québec,13028,217.11627247844228,60.00471476081354
491825474,M9R,ETOBICOKE,35,3595,Toronto,3595,Toronto Public Health,33743,2.790032522477427,12094.124254163778
491825494,T4N,RED DEER,48,4833,Central,4833,Central Zone,33829,2779.169201767321,12.172342719719104
491825509,M2M,NORTH YORK,35,3595,Toronto,3595,Toronto Public Health,32320,17.868445086696013,1808.775181230734
491825520,V3K,COQUITLAM,59,5902,Fraser,591,Fraser,30495,5.895087543658566,5172.951168944714
491825572,M6M,YORK,35,3595,Toronto,3595,Toronto Public Health,42434,47.7194081900521,889.239862971437
491825619,S4H,WEYBURN,47,4706,South,476,South,11193,349.00978756809604,32.07073382667273
491825640,V7C,RICHMOND,59,5903,Vancouver Coastal,595,Vancouver Coastal,39252,36.09470031961169,1087.472666414488
491825852,J9E,MANIWAKI,24,2407,Outaouais,2407,Région de l'Outaouais,7769,46.46097556393206,167.21560203378775
491826257,N6J,LONDON,35,3544,Middlesex-London,3544,Middlesex-London Health Unit,26943,1.8203993501518936,14800.598559734644
491826299,E1E,MONCTON,13,1301,Zone 1 (Moncton area),1301,Zone 1 (Moncton area),11006,36.11689759720782,304.7327077409569
491826414,J8A,SAINT-HIPPOLYTE,24,2415,Laurentides,2415,Région des Laurentides,9113,39.743932125506255,229.29286340421254
491826542,K9J,PETERBOROUGH,35,3555,Peterborough,3555,Peterborough Public Health,43047,13.9173760301602,3093.0399456559408
491826639,V0J,VANDERHOOF,59,5905,Northern,594,Northern,52919,45.44728877223502,1164.4038936010118
491826790,H1G,MONTREAL-NORD,24,2406,Montréal,2406,Région de Montréal,48556,8.419697998293517,5766.952687595352
491826963,N8N,WINDSOR,35,3568,Windsor-Essex,3568,Windsor-Essex County Health Unit,24162,1384.0830749547176,17.457044621971477
491827011,H4W,COTE SAINT-LUC,24,2406,Montréal,2406,Région de Montréal,24742,4.851835550037136,5099.513317142545
491827046,L6P,BRAMPTON,35,3553,Peel,3553,Peel Public Health,82182,15.470799542282702,5312.071931084832
491827047,S6J,MOOSE JAW,47,4706,South,476,South,5317,26.346108638300525,201.8134849816279
491827083,T6J,EDMONTON,48,4834,Edmonton,4834,Edmonton Zone,47109,21692.826627634757,2.171639538205098
491827100,N1H,GUELPH,35,3566,Wellington Dufferin Guelph,3566,Wellington-Dufferin-Guelph Health Unit,43789,1040.4808305218762,42.08535007611496
491827131,H2N,MONTREAL,24,2406,Montréal,2406,Région de Montréal,6334,2.687088980778588,2357.197712955793
491827148,J6E,JOLIETTE,24,2414,Lanaudière,2414,Région de Lanaudière,43876,15.684011878264004,2797.4985189093372
491827197,L5A,MISSISSAUGA,35,3553,Peel,3553,Peel Public Health,47828,33.19785734957322,1440.695388752698
491827219,M9M,NORTH YORK,35,3595,Toronto,3595,Toronto Public Health,22263,12.311657799346664,1808.286127086916
491827230,B3H,HALIFAX,12,1204,Zone 4 - Central,1204,Zone 4 - Central,18814,1102.9845646909987,17.057355653268587
491827327,A0N,LOURDES,10,1013,Western,1013,Western Regional Health Authority,13815,16.309063237186358,847.0750158415209
491827348,V1E,SALMON ARM,59,5901,Interior,592,Interior,19344,20737.93019060083,0.9327835431120985
491827357,T9W,WAINWRIGHT,48,4833,Central,4833,Central Zone,8062,29.538161885890226,272.9350604531371
491827414,A2V,LABRADOR CITY,10,1014,Labrador-Grenfell,1014,Labrador-Grenfell Regional Health Authority,7288,83579.30833759216,0.08719861584116527
491827586,T2K,CALGARY,48,4832,Calgary,4832,Calgary Zone,35544,7.076032674193561,5023.153741167662
491827631,L3Z,BRADFORD,35,3560,Simcoe Muskoka,3560,Simcoe Muskoka District Health Unit,33666,63.33618624894327,531.5444770810099
491827760,M2H,NORTH YORK,35,3595,Toronto,3595,Toronto Public Health,24497,127.64877256167195,191.90940506822793
491827768,M1B,SCARBOROUGH,35,3595,Toronto,3595,Toronto Public Health,66108,2.3466548388690107,28171.164717117616
491827898,K0A,CARP,35,3543,Leeds Grenville and Lanark,3543,"Leeds, Grenville and Lanark District Health Unit",103474,2708.0607916581534,38.20962967993144
491827992,L3X,NEWMARKET,35,3570,York,3570,York Region Public Health,42239,14.277172357378427,2958.498990044827
491828051,V7C,RICHMOND,59,5903,Vancouver Coastal,595,Vancouver Coastal,39252,36.09470031961169,1087.472666414488
491828199,P3E,SUDBURY,35,3561,Sudbury,3561,Sudbury and District Health Unit,27210,7.176309718266199,3791.6423716692584
491828287,M6J,TORONTO,35,3595,Toronto,3595,Toronto Public Health,32684,18.655839215886573,1751.9447729892313
491828577,L4Z,MISSISSAUGA,35,3553,Peel,3553,Peel Public Health,38102,94.8808976280127,401.57714516341946
491828634,L6L,OAKVILLE,35,3536,Halton,3536,Halton Region Health Department,29742,19.326152428902297,1538.9509168685217
491829056,E2J,SAINT JOHN,13,1302,Zone 2 (Saint John area),1302,Zone 2 (Saint John area),15813,2.379741247965501,6644.840069700401
491829579,L5L,MISSISSAUGA,35,3553,Peel,3553,Peel Public Health,44860,11.959076454682528,3751.1257804891156
491830124,L5R,MISSISSAUGA,35,3553,Peel,3553,Peel Public Health,37126,4.167193373426468,8909.113802288759
491830828,H3J,MONTREAL,24,2406,Montréal,2406,Région de Montréal,11071,2.784564646100351,3975.8459246059892
491831276,K2J,NEPEAN,35,3551,Ottawa,3551,Ottawa Public Health,68963,32.248345607984476,2138.497299623495
491831295,H1Y,MONTREAL,24,2406,Montréal,2406,Région de Montréal,27172,2.23685512963381,12147.411622695592
491831573,P0B,UTTERSON,35,3560,Simcoe Muskoka,3560,Simcoe Muskoka District Health Unit,9138,42.00190650797526,217.5615527896309
491832658,M1J,SCARBOROUGH,35,3595,Toronto,3595,Toronto Public Health,36699,7.9556849622128025,4612.927758490892
491832684,R5L,ANOLA,46,4603,Interlake-Eastern,4603,Interlake-Eastern Regional Health Authority,NA,0,NA
491833531,L6C,MARKHAM,35,3570,York,3570,York Region Public Health,50929,4.9463107409124465,10296.360796492361
491833767,V3B,PORT COQUITLAM,59,5902,Fraser,591,Fraser,56524,1916.4536681097202,29.49406027423143
491834337,M3J,NORTH YORK,35,3595,Toronto,3595,Toronto Public Health,25473,8.389703558418237,3036.221699924113
491834842,M4C,EAST YORK,35,3595,Toronto,3595,Toronto Public Health,46866,6.84213842199296,6849.61295862661
491835948,M1W,SCARBOROUGH,35,3595,Toronto,3595,Toronto Public Health,48471,179.65109622901298,269.8063135568672
491836747,K1J,GLOUCESTER,35,3551,Ottawa,3551,Ottawa Public Health,26931,89.32389973259545,301.49825612878533
491837905,V9R,NANAIMO,59,5904,Island,593,Vancouver Island,28376,4.444805515885867,6384.0813503725485
491837909,S0E,TISDALE,47,4702,North,472,North,32755,3.284045186782448,9973.97969182385
491838388,K0A,CARP,35,3543,Leeds Grenville and Lanark,3543,"Leeds, Grenville and Lanark District Health Unit",103474,2708.0607916581534,38.20962967993144
491856332,T3A,CALGARY,48,4832,Calgary,4832,Calgary Zone,53224,179.29640001664757,296.8492395556084
491857875,L7R,BURLINGTON,35,3536,Halton,3536,Halton Region Health Department,15866,10.121236613353302,1567.595008999931
491860661,M4K,TORONTO,35,3595,Toronto,3595,Toronto Public Health,31583,198.7013853194859,158.94705489455274
491861356,T3M,CALGARY,48,4832,Calgary,4832,Calgary Zone,40268,16.975224823220465,2372.1629857247767
491862306,M5N,TORONTO,35,3595,Toronto,3595,Toronto Public Health,16610,5.9434685121935455,2794.664422958266
491863904,M6H,TORONTO,35,3595,Toronto,3595,Toronto Public Health,44950,14.156462522528441,3175.228269666031
491869732,L7P,BURLINGTON,35,3536,Halton,3536,Halton Region Health Department,29700,14.282689806783313,2079.4402456247776
491872153,G8V,TROIS-RIVIERES,24,2404,Mauricie,2404,Région de la Mauricie et du Centre-du-Québec,9484,84.98611952402888,111.59469397021363
491875657,T6X,EDMONTON,48,4834,Edmonton,4834,Edmonton Zone,35649,8149.358936738237,4.374454515592662
491875672,V8R,VICTORIA,59,5904,Island,593,Vancouver Island,23572,104.066573314475,226.50885149036887
491881426,V8R,VICTORIA,59,5904,Island,593,Vancouver Island,23572,104.066573314475,226.50885149036887
491885222,H2X,MONTREAL,24,2406,Montréal,2406,Région de Montréal,19901,29.02085812572344,685.7481578864893
491892137,G7J,CHICOUTIMI,24,2402,Saguenay,2402,Région du Saguenay—Lac-Saint-Jean,14860,2.364358500730015,6285.002885734906
491894504,M5B,TORONTO,35,3595,Toronto,3595,Toronto Public Health,12785,6.5130149992780275,1962.9925620342078
491901750,K1P,OTTAWA,35,3551,Ottawa,3551,Ottawa Public Health,340,3.485842037526569,97.53740884978599
491919193,P3C,SUDBURY,35,3561,Sudbury,3561,Sudbury and District Health Unit,16249,27.027368888568624,601.205395426878
491938308,V6E,VANCOUVER,59,5903,Vancouver Coastal,595,Vancouver Coastal,26907,225.38940075486892,119.38005917706735
491957854,J1J,SHERBROOKE,24,2405,Estrie,2405,Région de l'Estrie,14462,7.062494429663393,2047.7184292362374
492048071,H4K,MONTREAL,24,2406,Montréal,2406,Région de Montréal,11257,1.3605427075465093,8273.904183647383
492056006,K2V,KANATA,35,3551,Ottawa,3551,Ottawa Public Health,2435,7.292639230529309,333.898321722308
492060304,M6K,TORONTO,35,3595,Toronto,3595,Toronto Public Health,40957,71.72054362625725,571.0637138144257
492105114,V3Z,SURREY,59,5902,Fraser,591,Fraser,29265,18.0199914947186,1624.0296233534377
492132099,C1E,CHARLOTTETOWN,11,1100,Prince Edward Island,1100,Prince Edward Island,11466,33.16417540490231,345.734512015188
492151083,R3M,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority,22582,41.55836022914207,543.3804383880567
492152432,R3L,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority,20078,26.877153541002535,747.0285113849552
492152498,R2H,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority,15914,19910.324837919954,0.7992837951940993
492152790,R1N,PORTAGE LA PRAIRIE,46,4605,Southern Health,4605,Southern Health—Santé Sud,16788,208.09784282972512,80.67358974853327
492154173,R3X,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority,17962,12.636170253329773,1421.47499122741
492167387,R3T,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority,48009,34.40860761834465,1395.2613407816136
492189247,L0S,NIAGARA ON THE LAKE,35,3546,Niagara,3546,Niagara Region Public Health Department,55265,133.30592497589794,414.5727206798352
492212174,R2W,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority,28874,6.104671878458997,4729.820140192149
492214159,R2N,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority,30306,53.139512562773675,570.3100863825114
492222013,R2M,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority,38195,19.759778174004257,1932.9670436406475
492224120,R7B,BRANDON,46,4602,Prairie Mountain,4602,Prairie Mountain Health,20977,2.45230236781453,8554.00226143178
492248369,R3Y,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority,21896,57.35985740819447,381.7303771203574
492298202,R2W,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority,28874,6.104671878458997,4729.820140192149
492303830,R1A,ST ANDREWS,46,4603,Interlake-Eastern,4603,Interlake-Eastern Regional Health Authority,21390,107.6882928602987,198.62883357013288
492323841,R3M,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority,22582,41.55836022914207,543.3804383880567
492326919,R0L,CAMPERVILLE,46,4602,Prairie Mountain,4602,Prairie Mountain Health,26815,25.127163851191504,1067.1717730979997
492358061,M9C,ETOBICOKE,35,3595,Toronto,3595,Toronto Public Health,38291,225.47001621448666,169.82745929096964
492380089,R2K,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority,33413,7516.189513387476,4.445470665752422
492387546,N1H,GUELPH,35,3566,Wellington Dufferin Guelph,3566,Wellington-Dufferin-Guelph Health Unit,43789,1040.4808305218762,42.08535007611496
492387558,T4T,ROCKY MOUNTAIN HOUSE,48,4833,Central,4833,Central Zone,13389,20.564011705339443,651.0889116311653
492387565,E2J,SAINT JOHN,13,1302,Zone 2 (Saint John area),1302,Zone 2 (Saint John area),15813,2.379741247965501,6644.840069700401
492387576,H4C,MONTREAL,24,2406,Montréal,2406,Région de Montréal,17052,3.3734656069899542,5054.742507132008
492387596,A0B,HEART'S DESIRE,10,1011,Eastern,1011,Eastern Regional Health Authority,19792,6.292577503770082,3145.2930040419824
492387601,L3R,MARKHAM,35,3570,York,3570,York Region Public Health,62298,19.8206755619028,3143.0815667929405
492387612,V3Y,PITT MEADOWS,59,5902,Fraser,591,Fraser,18861,1.2449433934640852,15150.086420812122
492387613,T6A,EDMONTON,48,4834,Edmonton,4834,Edmonton Zone,14767,33157.120417859325,0.4453643686152581
492387617,V5J,BURNABY,59,5902,Fraser,591,Fraser,21918,2496.1579976369444,8.78069417911417
492387651,N5P,ST THOMAS,35,3575,Southwestern,3575,Southwestern Public Health,19945,3641.5311161001546,5.477091740838895
492387658,P7B,THUNDER BAY,35,3562,Thunder Bay,3562,Thunder Bay District Health Unit,21917,35.710224585962514,613.7457900115097
492387684,T4P,RED DEER,48,4833,Central,4833,Central Zone,32478,364.69414044802124,89.05544783390616
492387687,M5N,TORONTO,35,3595,Toronto,3595,Toronto Public Health,16610,5.9434685121935455,2794.664422958266
492387689,E1B,RIVERVIEW,13,1301,Zone 1 (Moncton area),1301,Zone 1 (Moncton area),19667,14.277391592814029,1377.4925113000768
492387692,L7S,BURLINGTON,35,3536,Halton,3536,Halton Region Health Department,12191,7.645224087408014,1594.5902776190771
492387726,T6J,EDMONTON,48,4834,Edmonton,4834,Edmonton Zone,47109,21692.826627634757,2.171639538205098
492387729,L4T,MISSISSAUGA,35,3553,Peel,3553,Peel Public Health,38445,32.968167215347805,1166.124878852912
492387752,M2N,NORTH YORK,35,3595,Toronto,3595,Toronto Public Health,75897,6.087786381486448,12467.093167199522
492387755,M1S,SCARBOROUGH,35,3595,Toronto,3595,Toronto Public Health,37769,37.96217619809884,994.9113507852979
492387766,L2G,NIAGARA FALLS,35,3546,Niagara,3546,Niagara Region Public Health Department,26096,6.5670295108062975,3973.790578686762
492387768,M5R,TORONTO,35,3595,Toronto,3595,Toronto Public Health,26496,0.5955577951678342,44489.38493456064
492387770,N0R,BELLE RIVER,35,3568,Windsor-Essex,3568,Windsor-Essex County Health Unit,46403,13.143767439541138,3530.4185206749194
492387772,L5C,MISSISSAUGA,35,3553,Peel,3553,Peel Public Health,29687,29.065815814743935,1021.3716411476386
492387774,N5P,ST THOMAS,35,3575,Southwestern,3575,Southwestern Public Health,19945,3641.5311161001546,5.477091740838895
492387783,T2R,CALGARY,48,4832,Calgary,4832,Calgary Zone,13879,310.3094219024497,44.72632482413978
492387785,N5V,LONDON,35,3544,Middlesex-London,3544,Middlesex-London Health Unit,30857,7187.264860753335,4.293288281123081
492387791,M1P,SCARBOROUGH,35,3595,Toronto,3595,Toronto Public Health,45571,24.167438986832945,1885.6362904165508
492387802,P6C,SAULT STE. MARIE,35,3526,Algoma,3526,Algoma Public Health Unit,19322,16300.469459072825,1.185364633117692
492387814,S7T,SASKATOON,47,4704,Saskatoon,474,Saskatoon,13202,2.5802791596559564,5116.500650945187
492387815,M1K,SCARBOROUGH,35,3595,Toronto,3595,Toronto Public Health,48434,3.7200155512745114,13019.838044334538
492387867,S4S,REGINA,47,4705,Regina,475,Regina,34958,272.43017779096675,128.31911752017047
492387877,N6J,LONDON,35,3544,Middlesex-London,3544,Middlesex-London Health Unit,26943,1.8203993501518936,14800.598559734644
492387888,K0C,ALEXANDRIA,35,3558,Eastern,3558,Eastern Ontario Health Unit,52154,7602.296169936639,6.860295736207115
492387890,H2J,MONTREAL,24,2406,Montréal,2406,Région de Montréal,26559,3.836250062150872,6923.167043263377
492387898,T2A,CALGARY,48,4832,Calgary,4832,Calgary Zone,59641,392.24716759014876,152.04953643493914
492387908,T3K,CALGARY,48,4832,Calgary,4832,Calgary Zone,80792,4.158144247478486,19429.821379812056
492387917,E1E,MONCTON,13,1301,Zone 1 (Moncton area),1301,Zone 1 (Moncton area),11006,36.11689759720782,304.7327077409569
